id,date,user,pc,activity
{N2B2-A8RU42AY-3072QLAH},03/12/2010 14:41:47,DBB0384,PC-4243,Disconnect
{X1W9-G4DL97ES-7935FSMI},04/20/2010 12:59:14,NWT0098,PC-4667,Disconnect
{F0Z0-C2EB55DD-5389FLTH},09/17/2010 13:32:21,BJP0134,PC-0898,Disconnect
{H6T1-K1YG04BF-5741OUBJ},06/23/2010 15:33:41,LBH0942,PC-3640,Disconnect
{S6B6-R5FU01LA-2285WMMQ},06/18/2010 10:13:17,BDI0533,PC-5883,Disconnect
{Q3H8-G1SN05XJ-8873IVNN},11/16/2010 10:04:24,VIA0063,PC-2684,Disconnect
{R7D6-B3VD38TW-1551ZOOF},03/19/2010 16:34:30,QRM0739,PC-7343,Connect
{X1I3-X7AZ83GV-2854ALDR},01/29/2011 16:55:00,BDI0533,PC-5883,Disconnect
{E6R9-Q3DS29JR-0666HJCD},08/31/2010 14:54:45,QRM0739,PC-7343,Disconnect
{D7Y3-T4FA46GS-3326NSHH},03/30/2010 14:35:35,IBB0696,PC-4289,Connect
{J5U4-S1HM37UA-9349ANMK},03/14/2011 14:07:04,AJD0074,PC-3135,Disconnect
{E3V2-W0WW96NQ-4677JYFM},05/24/2010 09:54:36,ICH0294,PC-8526,Connect
{W4Y8-T9QD35OQ-1792VUVQ},04/01/2010 12:38:15,JDF0593,PC-6301,Disconnect
{G9V4-L9RO18CQ-3186YBUG},02/10/2010 09:11:32,EIS0041,PC-0444,Disconnect
{B4U0-D7TE76LO-3744ETCZ},05/15/2011 10:06:57,HSB0196,PC-8001,Connect
{Y6R7-P2OG63DO-3824UUSZ},02/01/2010 09:46:13,LCB0664,PC-3196,Connect
{G5K0-G7YE44HC-1763OCCN},11/03/2010 12:31:24,LBF0214,PC-3819,Disconnect
{L2Z3-F9WJ90VF-8449JLQH},05/08/2010 15:02:16,BSS0369,PC-3672,Disconnect
{W3W6-X1AO42EB-4046OPKO},01/04/2011 08:20:00,IIW0249,PC-0843,Disconnect
{A9U2-J7NE06CX-0836HFJZ},01/08/2010 12:53:18,CLB0774,PC-7029,Connect
{D7W0-L4GR01AI-5479PETJ},07/23/2010 13:00:17,LCB0664,PC-3196,Disconnect
{G5K7-K3WA33PA-6286OGPF},01/07/2010 17:43:14,AHM0410,PC-3686,Disconnect
{S6K9-V9FP32CX-9103ALTB},01/18/2011 15:23:29,BDI0533,PC-5883,Connect
{Y7L4-Q0UT19EY-7549JOPT},01/31/2011 15:56:47,GKO0078,PC-4233,Disconnect
{F7I3-P4VM46SQ-3067ZYXZ},11/22/2010 13:00:02,THR0873,PC-4804,Connect
{J3A1-R8IZ49XG-0139UIFE},05/30/2010 15:51:43,OBH0499,PC-7989,Disconnect
{J7W5-R4UL28OL-1983GCJX},09/28/2010 08:49:55,LBH0942,PC-3640,Connect
{Q3L1-U6KP90FK-2836DUIK},01/21/2011 17:01:25,VIA0063,PC-2684,Connect
{Q9P8-U6MF18YS-0512BSTI},01/24/2011 14:21:03,CTA0020,PC-3118,Connect
{K4F8-C7VG07LY-2782CNDK},02/07/2011 01:45:22,BAL0044,PC-5866,Connect
{K5P1-B8LJ61RC-9378LRMC},08/17/2010 12:51:30,HAH0760,PC-1038,Disconnect
{S3I2-K3YQ57QC-5056IQWS},10/22/2010 13:00:56,OBH0499,PC-7989,Disconnect
{J7O1-W9KK64HN-1945FNCB},03/09/2011 02:46:32,BAL0044,PC-4707,Disconnect
{Y4L5-S7RX91ZC-2918UVPZ},02/18/2011 08:25:00,RSC0089,PC-9929,Disconnect
{V9V3-B7YZ44BJ-1899UNEO},03/28/2011 12:35:45,DLM0051,PC-0166,Connect
{A9O2-K9XF79XD-1234BWER},04/29/2010 10:49:51,HWW0436,PC-8391,Disconnect
{T2Y0-A7OF11QC-5952NNUY},12/17/2010 14:43:14,CEJ0109,PC-6980,Disconnect
{O4R9-C1ZD38KD-4404ROFD},10/04/2010 11:24:16,KMB0922,PC-1725,Disconnect
{S4S6-D9KJ64CJ-1423MBKP},06/14/2010 12:28:32,CAM0681,PC-4953,Disconnect
{B2M0-U2TZ43NQ-4303UDPC},03/31/2010 15:07:33,VCC0396,PC-4582,Connect
{D8I7-O8DW29ZP-9410NDBL},05/27/2010 12:14:48,DMK0257,PC-1279,Connect
{T7V7-Z1PU31II-9215NPAX},02/04/2011 13:17:52,DLM0051,PC-0166,Disconnect
{W0M3-S7BE96ZC-5556MEGD},10/13/2010 11:35:47,OBH0499,PC-7989,Disconnect
{X3B4-L1OJ54ZS-1083XJAS},08/09/2010 14:26:23,DBB0384,PC-4243,Disconnect
{P5X5-V5JV25UG-7793AIEF},03/04/2010 11:55:20,BSS0369,PC-3672,Disconnect
{V6X2-O0KC40NR-3603MKPF},01/25/2010 14:21:58,AVM0947,PC-0285,Connect
{R3Y0-T0NU61QU-4291OTRM},11/11/2010 13:37:08,CIM0271,PC-3291,Disconnect
{Y4G0-X6ZN80TA-5253KZIT},06/08/2010 09:58:02,MOH0273,PC-6699,Disconnect
{P0O4-W9GX94EC-8716HNBQ},09/20/2010 15:57:27,CLB0774,PC-7029,Disconnect
{M5R2-C6EF83NZ-4826YTBJ},05/18/2010 11:28:52,RVF0201,PC-7899,Connect
{X1X3-S4XB66MO-4348EYVG},01/14/2010 12:13:15,CTA0020,PC-3118,Disconnect
{J2L1-G9QN33LA-6180MOXA},03/02/2010 13:36:23,BDI0533,PC-5883,Connect
{F3X1-X2NU65BR-3769HUKA},04/19/2011 09:22:21,KWE0082,PC-1933,Disconnect
{K0E9-T8BK62WK-7570ZQBP},09/27/2010 10:02:15,JNJ0556,PC-0576,Disconnect
{I9K7-H9WS66AQ-9517QKVZ},04/19/2011 14:59:23,BJP0134,PC-0898,Disconnect
{N2I6-E9DP96EK-2670NWHA},01/13/2011 10:36:54,AIB0948,PC-8245,Disconnect
{Y2D3-Q0GI04OU-7744MNCT},03/07/2011 14:42:11,NAF0326,PC-0384,Connect
{U6D7-V6UG19OQ-9437VLPG},01/20/2011 09:02:36,BAL0044,PC-5179,Disconnect
{V5N5-S9UU41OX-1477KSXC},06/02/2010 11:48:58,LOM0086,PC-9087,Connect
{B7D7-X1BD95OR-8108YDUK},06/02/2010 13:41:10,MDH0580,PC-4579,Connect
{H8Y3-M0TB51YI-4873XVEG},03/15/2011 13:26:21,BJP0134,PC-0898,Connect
{L4B9-A1BU71XU-1198OVSU},07/15/2010 15:12:28,JDF0593,PC-6301,Connect
{J7L1-T8PQ91JB-3787PNLA},05/09/2011 10:53:05,THR0873,PC-4804,Connect
{U0B9-B3VR91KV-4570LHMU},10/27/2010 15:31:00,CTA0020,PC-3118,Disconnect
{K0Z0-O4UI46KE-6056CIPH},02/14/2011 10:04:39,AVM0947,PC-0285,Connect
{S8A3-H3PZ66JK-3878AHGK},05/26/2010 08:14:47,KKW0879,PC-2531,Connect
{H9A1-R6PR23TP-0505XBAA},01/05/2011 11:55:11,QRM0739,PC-7343,Connect
{N4O2-W3WV66BN-9009HWPI},11/08/2010 17:25:39,ZKS0899,PC-8517,Disconnect
{B7S5-Z6EL56TN-7685GEBQ},02/09/2010 11:03:25,MPM0220,PC-1485,Connect
{I6A6-Q4FE83LR-8646QBMK},07/02/2010 12:39:44,AIB0948,PC-8245,Disconnect
{W2C9-X4ZY19OW-9239VEJD},07/12/2010 10:10:39,IIW0249,PC-0843,Connect
{K9L5-R5TM81YF-9001DKCF},04/28/2011 09:35:23,LCB0664,PC-3196,Connect
{Q7P3-F3EY25EL-6004QLTR},02/02/2010 13:52:43,SBN0866,PC-8714,Disconnect
{B6K3-V3TJ22FW-7512KASC},03/24/2010 13:00:45,FFC0891,PC-5843,Connect
{H1G0-M8DD71NY-6251YREH},10/03/2010 13:14:05,BJM0111,PC-6866,Connect
{F5U3-Y7IN06MF-7676CFFQ},01/21/2010 11:52:48,HCM0267,PC-7651,Connect
{G1O2-U4KZ38WW-2891KFRC},11/11/2010 11:09:46,HCS0003,PC-3054,Disconnect
{S9G2-N6KC86VW-2251NLDT},02/28/2011 10:16:50,THR0873,PC-4804,Connect
{P2S5-G1SO57ZS-2628INOH},07/27/2010 12:18:02,ZKS0899,PC-8517,Connect
{N1C7-E2FF47ZB-4946MEGX},01/12/2010 13:02:42,HVF0067,PC-9939,Connect
{V7D7-O6BM16AV-6873YVDE},07/12/2010 16:15:30,BRB0355,PC-9896,Disconnect
{E8D5-A5RE94ZC-2895HZOB},02/09/2011 19:00:35,SAA0999,PC-4559,Disconnect
{G7K9-O8ID66VF-8945QGMW},11/16/2010 10:31:50,JNJ0556,PC-0576,Disconnect
{J9C9-M4DG11NC-1010JUOK},04/01/2010 08:07:03,RSC0089,PC-9929,Disconnect
{K9B8-E4HT29WW-7411ZWHP},09/03/2010 08:01:00,LBH0942,PC-3640,Disconnect
{H6M5-V0FE92WG-5271TPOT},08/05/2010 12:39:58,DIB0285,PC-1268,Connect
{N6K1-T9UZ74CA-6280YAFS},04/16/2010 12:23:23,DBB0384,PC-4243,Connect
{E1S7-S4AS68AG-2103CRIA},01/26/2011 11:24:13,VTT0385,PC-5027,Disconnect
{I5A5-N5YU59AU-0024BCDQ},11/09/2010 19:22:42,HRL0540,PC-1117,Disconnect
{J1O1-O7LH46XY-1092RATD},06/22/2010 17:26:17,LJT0817,PC-3120,Disconnect
{Y6G2-K8UQ86CO-3202OHZP},02/10/2011 09:17:21,JBD0616,PC-1479,Connect
{V8S5-Z1FU44KC-4739DCGK},04/29/2010 11:01:13,JDB0169,PC-7502,Disconnect
{F8D0-K2WM92EG-1495IDMH},09/27/2010 08:25:11,DLM0051,PC-0166,Connect
{C2T7-H3PH69UK-4122EAUQ},12/30/2010 10:22:04,BRM0995,PC-0768,Connect
{R2W9-T9LX56SD-7996PFSW},02/16/2011 13:16:16,SJO0209,PC-2731,Connect
{L7X3-H5PV34CL-6931YWPM},01/18/2010 13:15:36,PDH0716,PC-0379,Disconnect
{V2X0-H2YA73LJ-8333YQDD},02/03/2011 11:19:59,MLL0598,PC-0189,Disconnect
{J9X3-O6EK05KD-5080XFHK},12/07/2010 16:49:50,OCS0865,PC-8309,Connect
{W1J8-V9XP52PU-5335ISZW},02/26/2010 15:35:13,IBB0359,PC-4195,Connect
{X3D3-V2PS79QS-0547CJWH},03/01/2010 11:45:38,JFC0557,PC-9179,Disconnect
{U0T0-I8GM99WF-3899LANS},08/25/2010 15:48:22,AJF0370,PC-8651,Disconnect
{Y4M7-X0DX56NW-2116PLQR},06/16/2010 16:27:50,WIQ0567,PC-6113,Connect
{Z8F2-K2WL51OS-1092NBXM},02/18/2011 13:05:04,AVM0947,PC-0285,Disconnect
{O7X9-T5KK40VY-4443FEVV},03/11/2010 16:08:05,HAH0760,PC-1038,Disconnect
{R3P6-G6VW54BI-3362HNES},03/02/2011 10:15:54,GZC0735,PC-8219,Disconnect
{I7J2-B7AS79CR-2750XRHG},06/28/2010 16:03:56,LIM0674,PC-9582,Disconnect
{S0D2-S7FK14FL-4102RSZJ},03/09/2011 12:58:13,GNS0178,PC-6846,Disconnect
{X4X0-V2SO50CK-6267KQYZ},04/13/2011 10:05:08,LCB0664,PC-3196,Disconnect
{G5G9-I5PD03KU-1963YITY},11/27/2010 11:01:43,NAF0326,PC-0384,Connect
{H7H9-D5BC51AR-9952JUDA},04/28/2011 09:41:44,HRL0540,PC-1117,Connect
{Y2L5-N9IO60GM-1951QFGQ},01/11/2010 08:57:53,GZC0735,PC-8219,Connect
{V1Y3-W5HF19WX-8550TGOO},03/23/2011 13:38:14,WIF0691,PC-6390,Disconnect
{K1Y5-C6QW79EX-9033LPET},01/11/2011 13:00:58,VIA0063,PC-2684,Disconnect
{L3M9-Q9FG95EK-5536CYQT},05/12/2011 10:42:08,JJH0613,PC-9171,Disconnect
{I8N7-E6YE12GR-2692YUUF},09/15/2010 08:16:03,KKW0879,PC-2531,Disconnect
{B4M4-R8IJ54DY-4825ZJXY},02/26/2010 08:32:14,SGM0021,PC-1528,Connect
{U3E0-I8NB07TE-4853CTTG},05/10/2011 14:09:35,BJM0111,PC-6866,Disconnect
{X5A9-W6PU00JD-7210NAGZ},06/08/2010 12:36:30,PSF0133,PC-4925,Disconnect
{J3H7-E6OZ89CK-5416KRER},02/01/2011 08:23:42,MDM0625,PC-4984,Connect
{H3B2-V9NG70EU-8711PVGV},05/19/2010 16:47:47,EGD0132,PC-4211,Connect
{A9J8-W8BO49ET-2657WBGZ},07/19/2010 15:57:29,JBD0616,PC-1479,Connect
{C7I9-N7FR80XH-3349CSRN},05/06/2010 10:39:19,BJM0111,PC-6866,Connect
{G9J6-R2RM48WQ-8669FOYK},09/02/2010 12:00:57,LCB0664,PC-3196,Connect
{A0G8-S5ZS92ZA-6703ZFCT},09/01/2010 14:43:51,BSS0369,PC-3672,Connect
{H2F1-F1RF64RG-2947RCZX},01/31/2011 11:12:09,HCS0003,PC-3054,Disconnect
{R4O0-H9GL95LO-9343REMC},10/08/2010 09:44:56,SAA0999,PC-4559,Disconnect
{L9G6-V6UP18TC-2218QGIW},05/21/2010 08:16:22,RAR0725,PC-4159,Connect
{S4I5-T5EF60VG-9758BINQ},11/18/2010 10:02:12,DBB0384,PC-4243,Connect
{X0J4-A7DV52MY-7119RBFM},09/10/2010 15:33:32,VTT0385,PC-5027,Disconnect
{C2Q9-I0PI67SB-3112XZWE},11/01/2010 09:09:30,VTT0385,PC-5027,Disconnect
{N4T3-N9SM31GE-2288EAWS},02/03/2011 10:51:13,OBH0499,PC-7989,Disconnect
{S4A8-F1EC20MK-5487CSUM},01/26/2010 09:57:16,MTT0901,PC-2775,Disconnect
{D5Y2-J9JR09GX-1048EQXZ},06/04/2010 20:44:53,GTD0219,PC-2662,Disconnect
{O1A2-H4KR18OL-1683JALM},02/04/2010 17:20:29,JDF0593,PC-6301,Connect
{C2J3-D4JD63NB-8802LQUZ},05/26/2010 08:50:31,RSC0089,PC-9929,Connect
{E7X4-E4PI72IY-8200TQUF},08/26/2010 10:48:43,DBB0384,PC-4243,Disconnect
{G5T7-H7TN76KG-2886OCTA},08/23/2010 14:20:33,MBJ0312,PC-5250,Disconnect
{W0O4-J0HP25SR-0609LYBG},01/19/2011 09:37:45,MOH0273,PC-6699,Connect
{R0G5-S8UT29QE-5234OKWH},06/04/2010 15:17:38,HCS0003,PC-3054,Connect
{F2B2-Y9FT78NE-6029NBGE},02/09/2011 12:55:06,BBG0325,PC-6609,Connect
{O5L4-B3KJ08RU-1377XNCQ},03/23/2011 15:59:29,JNJ0556,PC-0576,Disconnect
{B3L9-L7NI82FH-7939SWMA},05/20/2010 13:29:18,THR0873,PC-4804,Disconnect
{F2M5-H2DG98WU-0776ZOJY},01/06/2010 13:09:50,JBD0616,PC-1479,Disconnect
{A9K7-Y3SJ33WJ-4193YUVI},10/18/2010 11:15:24,KRL0501,PC-7206,Disconnect
{S3F9-E7XZ05KW-2523UYSU},11/17/2010 11:08:10,BJM0111,PC-6866,Connect
{S4V6-Y4XM57YM-6028PBBR},04/21/2010 15:07:57,KKW0879,PC-2531,Connect
{W7G7-L0NN27VE-8689GYWG},05/03/2010 09:28:24,AJN0607,PC-8303,Disconnect
{Q2R4-F8ZS32CT-9177MMDX},04/09/2010 13:46:30,SGM0021,PC-1528,Disconnect
{J6K0-P5ZE63TK-8278SHBA},09/09/2010 13:28:51,BJM0111,PC-6866,Connect
{W9P2-H0FR88IB-0009HQGW},06/07/2010 00:28:49,GTD0219,PC-7886,Connect
{H4L0-Q0HL11EK-1645ZRDZ},07/06/2010 13:39:56,HCS0003,PC-3054,Connect
{E9B4-M2HM07CL-0563RLME},10/21/2010 14:00:00,JCG0316,PC-9245,Disconnect
{T0Q6-W2IO51WY-4733VXPP},11/11/2010 15:49:38,VSA0230,PC-9547,Connect
{N0N4-N4HM19SA-6198TWDY},12/20/2010 08:29:24,RVF0201,PC-7899,Connect
{D5V6-K4HG35NX-2347IRVG},03/09/2010 18:43:49,BRM0995,PC-0768,Connect
{E8J7-Y9SD59FA-1644XAPI},02/28/2011 14:18:10,JDB0169,PC-7502,Connect
{E3P4-B6IR90DF-4693RVRT},08/07/2010 13:02:01,OBH0499,PC-7989,Disconnect
{G8V0-C4JC66NG-9315LCCE},10/14/2010 11:26:43,HCM0267,PC-7651,Connect
{V6C7-M3IV02WQ-5208SQKD},03/22/2011 15:41:45,LBH0942,PC-3640,Connect
{Z2Q3-W4VI58TE-6776VFLP},07/21/2010 09:57:48,VIA0063,PC-2684,Connect
{T6K3-O0LF34TQ-0674TIJE},04/29/2011 09:25:40,RUM0880,PC-8592,Disconnect
{B8E2-Z2KW13BP-1343WNQI},03/24/2011 16:20:17,BVC0790,PC-0008,Disconnect
{P5F1-A1PB50ST-9104YMFS},05/06/2010 15:00:24,AIB0948,PC-8245,Connect
{Y8J8-H0GK03KA-8327TWRC},02/04/2011 09:55:23,RSC0089,PC-9929,Disconnect
{D6C1-P8XX37RV-8653MUGG},02/26/2010 12:38:37,BMG0917,PC-6688,Disconnect
{U8G4-P7LI28WG-1658PYXP},02/10/2010 09:30:54,GZC0735,PC-8219,Disconnect
{R3I3-D3UO52JF-4080ULSG},08/16/2010 09:54:19,OBH0499,PC-7989,Disconnect
{B6B7-M0US52WX-9585KEPW},09/15/2010 14:18:36,SAB0781,PC-8466,Connect
{Z3M4-O0MJ30DX-7900RWJL},01/11/2010 16:55:23,JDF0593,PC-6301,Disconnect
{C8V2-P0CW44LN-6010BIYT},03/10/2010 11:22:40,RSC0089,PC-9929,Disconnect
{T0M2-O4LP97GK-9563PLNE},06/02/2010 08:32:50,AJF0370,PC-0246,Connect
{M2C7-Y2TT84GL-2973KGUH},03/03/2011 16:34:39,SAA0999,PC-4559,Disconnect
{Z2I1-U1YP62LF-2354YLYU},12/10/2010 08:52:20,HPH0075,PC-2417,Disconnect
{O8S4-C2CL51BH-8817HUDR},04/11/2011 13:25:37,CLB0774,PC-7029,Disconnect
{R9S0-E7MM04PK-5515FEDW},01/17/2011 15:57:01,MLL0598,PC-0189,Connect
{X1N6-D7WT06NL-0044UOZS},08/09/2010 14:59:40,RNP0211,PC-1736,Connect
{K5O2-J1KJ97DP-3307TGIO},06/29/2010 07:23:29,MOH0273,PC-6699,Connect
{X4F0-M4ZA63LX-1251KIEU},04/04/2011 12:45:43,AVM0947,PC-0285,Connect
{K1G1-D0MC05AB-6909UPZB},03/09/2011 10:04:29,BMG0917,PC-6688,Connect
{S4X2-X8GH99MJ-8457TOYM},03/08/2010 14:10:07,DLM0051,PC-0166,Disconnect
{A3J6-E2ON98KN-9944RUHP},12/03/2010 09:23:58,HBO0413,PC-7384,Connect
{O5E2-Y4CA21WU-9758VNZI},04/30/2010 15:22:53,NDM0417,PC-9134,Disconnect
{Y3R4-X7XC64RW-0844BBAQ},11/19/2010 12:51:00,IUB0565,PC-5775,Connect
{V8Y0-P7SW47WJ-7913CKQN},08/10/2010 10:13:34,JBD0616,PC-1479,Disconnect
{C6A7-A8FT86DD-4365RVIZ},10/26/2010 11:01:48,CTA0020,PC-3118,Disconnect
{B0V1-B1BP30IN-6101MQBO},03/28/2011 08:58:53,MDM0625,PC-4984,Connect
{K7K3-C8QS54FS-5578GTFC},08/23/2010 11:15:16,XWD0923,PC-1637,Connect
{Y0O3-O6PX91NN-4123CTEW},05/29/2010 16:35:37,AOK0844,PC-4659,Connect
{O1V3-X0ZT85FI-8018MGBP},09/01/2010 11:47:53,MPM0220,PC-2344,Connect
{R4P5-H0EE30UV-2781DXZO},09/02/2010 05:41:31,CCA0046,PC-0378,Disconnect
{A5O8-M0LW78ME-4928QWHZ},02/18/2010 13:26:48,KKW0879,PC-2531,Disconnect
{U2Z9-K6IF42SF-1455PSBR},06/25/2010 13:20:57,MDM0625,PC-4984,Connect
{W5R0-P8UM95MS-9732ATLG},07/08/2010 08:59:52,RHO0732,PC-6232,Connect
{X8X7-Z3KE48AB-1052CRLD},03/09/2010 12:03:42,DPM0423,PC-2567,Disconnect
{O3S4-A1QR51CS-0751XOMZ},11/30/2010 13:00:08,EDB0714,PC-6103,Connect
{I4N8-Q6PF02QK-6387JHHF},02/21/2011 13:27:08,JNJ0556,PC-0576,Disconnect
{Z2L1-C9WM26NE-5053BGCK},01/04/2011 14:18:23,RSC0089,PC-9929,Disconnect
{A2B2-X1JK38GL-7364ZDWV},01/11/2011 13:40:25,MPT0376,PC-7408,Connect
{J3V3-I3UC91RC-9670FFMV},11/19/2010 15:25:04,MPT0376,PC-7408,Connect
{Z9I6-G5MD23DJ-9810SLLJ},03/21/2011 04:26:48,AJF0370,PC-0745,Disconnect
{J3L0-I3HQ95RN-1554LHJB},04/25/2011 14:08:18,LBH0942,PC-3640,Disconnect
{A8A0-C0RM58YJ-2614MPEU},01/07/2010 07:11:09,DLM0051,PC-0166,Disconnect
{C4I7-G1TH85KY-7470WRYY},03/05/2010 17:02:34,BRM0995,PC-0768,Connect
{E0B3-Y9BW92XD-5485OQSU},10/27/2010 10:56:58,BJM0111,PC-6866,Connect
{D1G7-O9UI42SO-5921UYHP},05/03/2011 18:28:08,BMG0917,PC-6688,Disconnect
{P4C5-A8BO85LN-1216ZCXO},08/10/2010 10:32:33,MKW0441,PC-1795,Disconnect
{Y1H4-Q5FE25PK-0824XUOL},12/09/2010 16:21:13,RSC0089,PC-9929,Disconnect
{V3H8-E0CI96AL-3493VIBE},06/16/2010 17:37:57,BVC0790,PC-0008,Disconnect
{U6K1-B1GX42JY-0504YJVB},11/02/2010 13:38:01,MDM0625,PC-4984,Disconnect
{K2O0-S8UN66LS-4982EBVY},03/03/2011 08:45:28,IBS0836,PC-6382,Connect
{T1E3-M8VN33BP-8714RVHK},03/10/2010 09:01:41,JBD0616,PC-1479,Disconnect
